中關
東洋
新台灣省
舊華東
沙羅美
天馬
熱遮蘭城
開朗
回津
英國
町下
耀東
長關
趙廠
中王
立山
並進蕃
馬家溝
朝欽
西宮
錫紹
陳市
亞洲
東港
渥君
鄭站
羅克典
南歸
泰國
渭川
蔚豐
蘭州
淺川
加冷
長賴國
梅北
蘭洲
豐國
山嶺
中飯
蘇聯
臨川
回北
比律賓
契約
華京
君拜
滿街
耀南
車回南
法平
大島
美都
北門
雲龍
梅崎
黑川
中拜
上北
阿蘭
禮拜
蒙疆
黃沙
米國
理大正町
朝川
蘇維
重町
華南
中國
徐市
灤榆區
地京
朝鮮
東四
楓港
遠東
松屋
渡邊
白馬
華庭
黃國
合豐
西門
圓山
新台灣
南韓
黃江鎮
啟琛
日頓
海濱
美麗
滿慶
韓國
朝波
清海
館拜
黃聯
法華寺
佐原
沁涼
之典
朝倉
上門
美國
山脈
江崎
興國
渥氏
東南
西公街
肇嘉哥
南門
興南
滿洲
亞東
馬蘭
壽豐
五島
馬公厝支
宜蘭縣
溪洲
町華南
東亞
錦城
入省
廣州
之越
閩台
屏東
安寧
麗園
烏山
長達
豐原
肇嘉哥拜
阿坊
德夫
青島
耀君
西野
法國
雲海
東本
涼蘭
鄭國
安東
哈爾濱
滿洲國
武廟
長德洋
北寧
中屋
德家
茂木
瑞棠
東興
三連
蘇州南
歸南
紅鬃烈馬
永樂
東門
璧輝
江君
開灤
太累
吳國
聊台灣
台灣省
青潭
江丁都
炳南
江自來水
太陽
唐市
克典
莊海國
廣美家
啟川
中縣
馬鞍寮
東安
愛國
岡田
海甸
渥家裡
馬台
渥來
啟興
中飯錫
中佐
東京
廣東
湖仔哥
榮町
歐陽
長群
烏山嶺
台東
杞君
徐坤泉
開山
濱田
故鄉
加吳
梧棲
麗都
酒興
台人
貴賓
鐘國
歸國
滿屋
菱川
台陽
華山
朝華君
歸京
南豐
治縣
徐坻
故國
太廟
神岡
岡本
歸津
故鄉鹿寮
中壢
六國
聊及
東北華北
新鮮
華北
興樂
溪圳
西門町
來津
橫濱
什剎海
相南
昭江
陳溪圳
長錫
餘慶
南華
唐山
京屋
高島
諒東亞
菲律賓
新國
東石區
回南
美滿
北各門
楊蘭洲
台光
坤鐘
東北
中島
西蒙
錦町
東石港
大連
東山
羅開灤
周甸
德國
南國
華東
高華里
連郭國
茂源
豐原縣
塞爾維亞
朝華
中飯林
新京
羅東
日華環
永井
小磯
欽錫
貴州
美觀
回國
廣田
綏靖
長拜
池田華陽
灤榆縣
東西
端町
日陸
長春
正町
蘇夫
建國
旅東
沈廠
龜井
四春園
東路
台灣
廣渡
興安
錦江
古冶
興亞
興興
東奔西
重慶
君來北
宜蘭
台中縣
中興
鹽原
白川
長安
聖樂
黃及
中華
日馬
唐山國
興利
松野
肇嘉
