雞籠
大雞籠嶼
社寮島
雞籠嶼
八斗子
八尺門
大武崙
石牌街
田寮港
白米甕
八暖暖
那那
七堵
拔西猴
友蚋
瑪陵
大加蚋
城內
鼓亭
林口
巴琅泵
大龍峒
圭武卒
大稻埕
大直
劍潭
馬納特
山仔腳
三板橋
三橋町
西新庄子
下埤頭
周厝崙
朱厝崙
上埤頭
中庄子
牛埔仔
艋舺
加蚋仔
下崁
興雅撫徠
三犁
五分埔
貓裏錫口
上答答悠
下答答悠
大灣庄
頂內埔
南港仔街
北投庄
干豆
里族
麻少翁
八芝蘭
三角埔
草山
湳仔
湳雅
內湖庄
頭廷魁
馬明潭
?尾
了康
內彎
瑪鋉
金包里
枋橋
港仔嘴
龜崙蘭溪洲
店仔街
頂秀朗
潭墘
枋寮
漳和
下秀朗
中坑
暗坑
峰仔峙
羌仔寮
樟樹灣
簪纓
坩仔瀨
槓仔寮
坪林尾
三角湧
風櫃店
鷹哥石
三重埔
樹林口
武?灣
興直
海山
七星
山腳
新莊山腳
鷺洲
河上洲
五穀坑
五股坑
八里坌
滬尾
小雞籠
小雞籠鼻頭山
打賓
嘎嘮覓
澗仔壢
安平鎮
楊梅壢
靈潭陂
石觀音
桃仔園
八塊厝
霄裡
大姑陷
大坵園
龜崙
蘆竹厝
南崁
大竹圍
坑仔外
比亞桑
基國派
竹頭角
奎輝
優霞雲
小烏來
義興
雅邦
高義蘭
高崗
巴陵
哈嘎灣
竹塹
大湖口
紅毛港
吧哩嘓
咸菜硼
九芎林
草山
樹杞林
舊港
六家
月眉
後壟
吞霄
貓裡
崁頭屋
大安
銅鑼灣
三叉河
四湖
馬凹
大墩
東勢仔
麻園頭
邱厝仔
三十張犁
大坑
四張犁
水崛頭
西大墩
潮洋
犁頭店
鳥松頭
大里杙
阿罩霧
凹日
湖日
葫蘆墩
內埔
石崗仔
東勢角
新社仔
南勢社
潭仔墘
壩雅
埧雅
神岡社
茄投
五汊
牛罵頭
大安港
半線
南郭鄉
大竹鄉
阿快官
芬園新庄
茄苳腳
赤塗崎
透水
臭水
鹿仔港
頂番婆
下見口
下徑口
和美線
新港
員林仔
湳仔
坡心
大埔心
湖厝
燕霧大庄
田中央
寶斗
番仔挖
王宮
二八水
草尾嶺
樟普寮
橫山
施厝坪
營盤口
