肇嘉嫂
淑英
黃介騫
憶起碧蓮
世洪
遊宜蘭
乾兄辦
香貴
陳武
秋海
張君
謝呂西
五人
翁君家
文發君
王幼呈
洪火煉
魏榕兄
賴天穎
陳述關
嘉嫂
丁瑞賓
子文兄
陳介民
盛旺
林榮
龔榮宗君
周有泉
海泠君
吳添桂
茂生
陳敬輝
朱王崙
藍振德
永芳君
李曉芳
金庫
藤田
雪貞
林澄藻
許乃邦
陳華
蔡先於
郭耀君
碧蓮來
碧蓮因
杜聰明
王定石
陳麗水
元禧
張平
迪德
陳科長
勞國軍
金章君
翟敏鋒
井氏
周曾君
鈴木
洪長興
蔡東
平木君
吳豐村
房開
陳友
北韓
顧及愛
天庚
林益謙
西蒙娜
景嘉兄
宋光石
郭國基
廖宅
麗鴻
安藤
吳國
白延君
黃鏘三君
九點多
沈流君
戴花
杜芝
米國軍
陳東成
王民寧
林連宗
川村氏
碧蓮實
瑞麟夫
竇尼茲
換屏
陳傳芳
劉俊卿
胡體仁
碧蓮之
杜香國
詹君
由南華
松波君
丘乃平
沙氏
邱水德君
南華
簡朗山
曹長帶
陳漢平
南風
郭天二
弗庵
李律師
黃雲裳
廖史豪
廖能君
於光漢
陳春林
賀碧蓮
陳欽
週典禮
瑞麟
如錫卿
周實
建裕君
宗敏
王萬傳君
王碧光君
華高雄
金順
蔡某
金鐘來
王有祥
基文君
壽喜
基煌君
何輝玉
銀河
桂端君
何耀玉
華三兄
金鐘
燕琛
甘君
王弟
鄭兩兄
泰喜
祝式
林鳳營
羅克典
玉梅
陳華洲
陳尚文
松風丸
馬克思
徐兄
蓋章
蔡江琳
楊添
益謙兄
曾夢見
祝壽
藤君
張金順
勞於
郭炎華
董君見
汪鐵道
陳生
祝賀
王習孔
吳鏡澄
萬圓
程元藩
陳文
凱歌
柏榮兄
福祿壽
張夫婦
俞朔
通運希
程全蔚
林獻堂
楊桃
洪夫婦
梁基君
林炳坤
波濤
陳誠
蔡東魯
正培蘭
張泰熙
由碧蓮
楊金虎
談學生
陳英君
師大
碧蓮一
東大敗
於懷
顏秘書
瑞棠
祝宴
張鐘美
林清輝
何敬燁
金護君
招嫂
南鵬
朱龍
宗堯君
藍君
林鳳麟
李公館
林炳
莫局
徐敦燦
劉安琪
袁九爺
林桂端
陳坤
吳耀輝
松齡
德馨兄
金庫見
陳鐵道
勵志社
李燦生
楊孟學
鄭樺山
梓君
蔣經國
宗耀兄
德君
平郡
蔡謀燦
高喬木
太麻里
羅秘書
雅敘園
於兄
元吉
李友三兄
林學田
了一
介騫
鐘君
託楊月娥
王習
張訓
蕭昆如
李萬居
邱三君
德君求
萬賢君
詹七叔
喻仔
古冶
陳祥霖
元禧才
碧蓮常
孔雄
祝辭
景嘉君
趙君訪
蔡竹青
張延哲
英姨
於小園
許建裕
李董華
孫子
蘇君
元吉帶
錢仔
莫衡
別莊
黃萬居
李香蘭
鄧兄
任君
華光領
碧蓮家
郭清海
石純君
陳清文君
樊君
招榮
宗仁會
沈鍾鈺
由林
湯圓
李英
謝道尹
了兩
黃棟兄
萬傳兄
丁瑞
康師長
雙鳳
陳火斐君
燕平
關於南
劉旺才
黃朝清
謝辭
謝化飛
高武
吳承柳
劉科
賴榮木
王代書
張校長
餘慶君
連夫婦
林慶豐
潘吉
吳深淵
春陽樓
蔡謀榜
魏鐵道
陳慶華
虞鐵道
顏海令
有祥君
王滋
孤獨
彭君
嘉義
金章
王育祥
子秋
碧蓮五
蔡東魯兄
謝南光
吳姊丈
邱耕
張燦堂
徐灶奎
昌麟
彭華英
劉萬
農興
林恩魁君
賴秋鴻
劉會
曾茂君
秋山
吳水柳
曉芳君
楊綽庵
呂月霞
蔡竹春
呂傳杏
李賜卿
餘慶兄
清漂君
秀珍君
楊基堅
陳鶴
宋秘書
吳文煌
楊文
楊基立
石萬英
於操
楊淡如
段良緣
張兩君
張煥三君
大澤
荻華
華氏
杰君
黃兄
愛夫
柏榮
李有福
林喜
馬君
李炳
朱華陽
豐澤園
朱龍引
松野君
元連君
慶華
楊老居
阿媽
鄭瑞麟
高之
胡傳昭
凱寧
顏水龍
曉芳兄
黃金爐
郭耀南
劉明
陳儀
多裕仔
成所
金鐘夫
劉清井
金進君
商滿生
王錫祺君
劉參謀
李順天
王氏
仲凱君
黃國瑞君
邱耕心
銀河君
內科翁
李當發君
陳天賜
藤夫
李奇
鈴瀾
陳玉燕
楊溪如
基榮君
鐘花蓮
昌仔
岳飛
康唐山
楊俊隆
章元義
趙培
五點尚
阿能君
嘉賓館
王芹藻
若村
花蓮港
卓章君
莊氏
鐘為憶
邱兄親姆
蔡謀
任顯群
伯昭兄
愛碧蓮
同錫卿
洪文
鐘大
從嘉義
玉釧記
莊銀河
林二君
林卓章
諸兄
黃傳君
福榮
金鐘君
毛夫婦
碧蓮進
謝國忠
員萬英
同到一
茹譽
李孝全
宋敏
由基銓
清海君
王齊勳
陳春印
孟學君
陳華宗
劉檢察
趙君
唐傳
李三爺
鄭書
徐三人
陳麗生
翁金護君
呂世明
陳天
金庫朱
柳營
郭承耀君
傅君
戈青
瑪莉
馬秘書
謝金贏
蔣總統
基堅君
鄭君
楊基澤
碧蓮到尚
李順天君
張英君
彭子騰
蘇子
余氏
藍振德兄也光
常懷
陳宗明君
益謙君
終於來
吳澤民
饒君
曾秘書
石再祿
戴氏
林建才
碧蓮會
碧蓮謝
廖昆
燕生
楊啟
林雲龍
陳某
瑞麟兄
林少英
四人
廖文毅
王受培
高爾夫
鄧輝雨
陳萬春
鐘嘉義
向朝倉
溫昶
張宅
陰森
李經理
毛澤東
花蓮
廖能
李正剛
雲龍
宗堯
張永琳
陳天賜君
翠瓊
莊天錄
由啟川
加碧蓮
楊柏齡
田律師
張宏圖
林茂
林恩
訪九爺
東君
正乾兄
劉科長
騰貴
林泉
周魯君
戴君
楊琳生
秋鳳
賓客
石夫婦
幼呈兄
梁葉
熊秘書
黃純
簡文
郭柏川
石田
周君
延齡
李時權
連與三
於公
時寧
林清兄
乾兄宅
徐良氏
元龍
覓樂
江君
仲凱宅
滿天
馬參謀
李立夫
林直
又是尚
林澤章
王有德
劉永濟
連天倫
華君留
談南華
廖溫仁
光隆
楊國喜
碧蓮拜
梁永祿
劉氏
時尚
毛君
和居
陳親
莊維藩
又請尚
葉榮鐘
吳君
柯少如
太遲
林權敏
和秋陽
宋光萬君
金君
陳國權
李希晟
黃鏘君
宗仁乘
鄂雲君
黃萬山
於唐山
李炳森
蘇換松
林諸
楊杏庭
陳佐摶
祝喬遷
林建
商賈
王田
黃鏘
甘競昌
林鐵道
謝漢儒
崇禧
世洪君
俊芬
華宗選
彭啟明
郭百
元雄君
袁總
石君
林朝啟
川息
碧蓮抱
賈開灤
加王
曹珍君
蔡懷池
陳傳訊
陳瑞棠
林朝權
子文三兄
周秘書
吳振儒
鄭祥
李彩蘭
黃逢
馬連良
許振乾君
千泉宮
基銓
李參
乾兄乘
秋煌
韓三
趙公館
張煥三
宋秘書敏
二龍
平木
王開運
紅玉
寶珠
何正義君
越智
由朝啟
陳祖貽
小邱
劉兄閒
祝兒
翁兄
蔡謀源
三點請尚
楊基先
徐申
師師長
席開
但慶華
麻竹
邱欽堂
南夫婦
左遷
袁六爺
陳金
鄭紅
東夫婦
黎秘書
基錫君
君祝
但潮君
小松
張媽
魏榕
孟處長
韓世珍
瑞麟君
楊基銓
王萬賢
謝君
張人驊
費盡
宗仁滿
黃君
蓬萊軒
沈君
郭啟
二君
陳華宗君
陳清文
樂中
老沙
蕭添貴
德欽
黃家璋
張大材
俞秘
陳亭卿
蔡謀達
廖繼成
葉鐵道
通紅
陳中凱
饒君續
中的
張耀東
沙君
林壁輝
楊子文
半碧蓮
賀宗義
振銘
謝南光君
林麗生
